"País","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","inflación","pbi","celulares","pob_aglo","pob_ciudad","Poblacion Activa","Desempleo","Años Obligatorios de Educacion"
"Serbia",8.25,5.36,6.11,5,7.35,2.12356741811402,4.96414998873551,95.78099081,19.8973191090315,35.4726526177004,3241884,"12.7329998016357",8
"Sierra Leona",6.58,1.86,3.33,6.25,5.29,13.4260267912915,1.25932772139537,83.07224041,14.8487076207878,35.3078322255625,2614289,"4.4169998168945304",9
"Singapur",4.33,7.86,6.11,6.25,7.35,3.08932962515523,2.95339703994944,148.821563,100,100,3493801,"4.0190000534057599",6
"Sudáfrica",7.42,7.5,8.33,5,7.94,3.91653962575576,-0.572080196712221,159.9306644,35.3078235783543,14.3089032487188,22947458,"26.920000076293899",9
"Sudán",0,1.79,2.78,5,1.18,23.9347802893319,-4.62984322829847,72.00791416,13.238937911679,38.2164366036418,12055376,"16.899999618530298",8
"Suecia",9.58,9.64,8.33,10,9.41,2.39692033450507,0.772577449000039,126.8307474,15.5570978654601,17.7935726248163,5411383,"6.3460001945495597",9
"Suiza",9.58,9.29,7.78,9.38,9.12,0.230767974241402,1.99643916740311,126.5434466,16.0996715067036,21.8161611721448,4953967,"4.7129998207092303",11
"Tailandia",3,4.29,5,5,5.88,1.46447905791358,3.82273796707413,180.1826119,20.0552124657007,29.2867702400653,38907795,"0.76599997282028198",9
"Togo",3.17,0.79,3.33,5,3.24,1.32842544443837,2.3752725065104,77.88610174,22.1285739528519,53.0635792468487,3596555,"2.0789999961853001",10
"Túnez",6.42,5.71,7.78,6.25,5.88,6.47778433624735,1.49480936027844,127.7071968,19.807493235744,28.729411823724,4061682,"15.4589996337891",9
"Turquía",4.5,5,5,5,2.35,16.4387463942893,1.30556428320997,97.30132788,36.8553458706931,23.8463704730436,32826049,"10.8900003433228",12
"Ucrania",6.17,3.21,6.67,6.25,6.18,15.3979947622403,3.93289796855672,127.753861,12.1100023983407,9.55421642481087,20432109,"8.7989997863769496",11
"Uganda",5.25,3.57,4.44,6.88,5.88,4.08797641909101,2.27724053899796,57.27260732,6.99001072931462,29.4019129075429,15935453,"1.7489999532699601",7
"Uruguay",10,8.57,6.11,7.5,9.71,5.55504296826201,1.24731253455232,149.9042265,50.3577393551559,52.822429451808,1749881,"8.3360004425048793",14
"Uzbekistán",0.08,1.86,2.22,5,0.88,27.4703062659273,3.63067001451314,71.51737128,7.47651876283905,14.8114402984447,15289417,"5.7360000610351598",12
"Zambia",6.17,4.64,3.89,6.88,6.47,10.2409007457137,1.04819282575673,89.15704437,14.5451238492419,33.4209340801511,7134980,"11.5",7
